ID,AGE,ANNUAL_INCOME,CREDIT_SCORE,LOAN_AMOUNT,YEARS_AT_JOB,EXISTING_LOANS,DEBT_TO_INCOME_RATIO,PROBABILITY_OF_DEFAULT,TARGET
1001,47,200000,582,494797,0,1,0.500689854,0.678506677,1
1002,40,200000,619,307553,1,3,1.579585839,0.716675518,1
1003,49,200000,590,749136,0,0,0,0.527867223,0
1004,60,200000,661,563521,9,0,0,0.326884455,0
1005,39,518000,769,1877493,0,1,0.281745354,0.521556555,0
1006,39,200000,572,329952,7,1,0.765516345,0.529604041,0
1007,60,689000,750,1425296,1,0,0,0.369091583,0
1008,51,416000,571,893755,1,2,0.473641503,0.670674076,1
1009,36,200000,565,493345,0,0,0,0.498487501,0
1010,48,236000,731,827691,3,2,1.306292299,0.528024195,0
1011,36,1130000,742,2787025,3,0,0,0.065986884,0
1012,36,519000,735,1044037,1,0,0,0.338348249,0
1013,44,270000,518,448868,0,0,0,0.552827054,0
1014,22,216000,603,366925,7,0,0,0.304478051,0
1015,22,287000,732,975833,11,1,0.350046875,0.374676711,0
1016,35,200000,654,522401,1,1,0.780937331,0.670903049,1
1017,29,200000,542,663090,2,0,0,0.329718431,0
1018,45,1686000,695,5000000,1,1,0.052250935,0.325537357,0
1019,31,308000,578,566229,1,0,0,0.522602685,0
1020,25,383000,829,711315,0,0,0,0.376159303,0
1021,59,254000,804,860642,1,3,0.84054205,0.611047153,0
1022,39,200000,710,660634,5,2,1.289451614,0.517237261,0
1023,42,226000,786,552587,0,0,0,0.404119462,0
1024,24,200000,656,338711,2,0,0,0.311129919,0
1025,35,2083000,726,3187500,6,1,0.076418721,0.098665206,0
1026,43,200000,797,444078,0,0,0,0.428978342,0
1027,28,200000,674,304611,0,1,0.816537269,0.686502496,1
1028,46,200000,624,415036,4,1,0.806086161,0.585022373,0
1029,34,855000,479,2179182,0,0,0,0.40049065,0
1030,38,271000,641,488759,0,0,0,0.490889707,0
1031,34,200000,732,352138,1,1,0.805795413,0.636799896,0
1032,64,829000,744,3101366,1,0,0,0.33357933,0
1033,41,518000,700,1535183,6,0,0,0.281862236,0
1034,29,435000,595,1668720,2,1,0.204823771,0.418072469,0
1035,51,511000,452,1208292,1,1,0.291763985,0.54216923,0
1036,27,2315000,600,5000000,2,0,0,0.160435064,0
1037,44,1917000,619,3856484,9,2,0.08541193,0.192153949,0
1038,22,200000,618,609170,0,1,0.827378832,0.673506516,1
1039,26,1157000,711,2110326,0,0,0,0.312241218,0
1040,44,378000,848,568966,9,0,0,0.201952079,0
1041,50,420000,662,1608108,9,1,0.182672931,0.319063672,0
1042,44,200000,628,577447,0,0,0,0.489081232,0
1043,40,230000,624,877990,0,0,0,0.466814738,0
1044,38,200000,662,466915,1,1,0.305808651,0.64405974,0
1045,24,565000,567,1310497,0,1,0.166624346,0.480407411,0
1046,33,703000,662,1758651,3,1,0.150142234,0.254655182,0
1047,36,200000,695,653020,0,1,0.355331782,0.623052259,0
1048,54,263000,670,766519,0,0,0,0.419028134,0
1049,46,736000,695,2806653,1,0,0,0.360006628,0
1050,22,226000,693,353374,9,1,0.290156635,0.455402536,0
1051,45,517000,472,1690843,1,1,0.279453508,0.572600653,0
1052,37,368000,713,855901,1,1,0.40085212,0.626243975,0
1053,33,364000,582,710012,18,0,0,0.322933911,0
1054,49,210000,540,582957,2,3,1.689498171,0.587023645,0
1055,54,200000,539,552531,1,0,0,0.562767829,0
1056,53,200000,693,368505,1,0,0,0.485634534,0
1057,31,508000,627,1018407,0,0,0,0.407182601,0
1058,38,273000,481,688072,2,0,0,0.323893784,0
1059,45,236000,697,595198,1,1,0.255780218,0.583808685,0
1060,53,200000,506,458779,0,0,0,0.577819934,0
1061,36,203000,663,379886,0,0,0,0.475273512,0
1062,39,688000,673,1039522,1,0,0,0.33764353,0
1063,28,200000,738,785117,2,1,0.656539275,0.505925943,0
1064,27,200000,828,771749,0,2,1.791427313,0.646843721,0
1065,51,524000,513,1419581,0,1,0.310034948,0.522083027,0
1066,58,223000,644,889241,8,0,0,0.368304506,0
1067,41,276000,622,878821,2,1,0.359853379,0.506244304,0
1068,54,1140000,693,1906243,0,0,0,0.273129793,0
1069,46,263000,671,471899,3,0,0,0.27282121,0
1070,34,348000,614,1319016,0,2,0.887032485,0.675513913,1
1071,46,200000,605,615026,4,0,0,0.3121179,0
1072,60,220000,538,793750,4,0,0,0.366421382,0
1073,41,464000,748,1737992,3,0,0,0.194029664,0
1074,60,200000,695,523971,3,0,0,0.327239867,0
1075,22,321000,741,520442,0,0,0,0.404556933,0
1076,51,293000,618,577415,3,0,0,0.353849141,0
1077,43,278000,584,463267,0,0,0,0.515827946,0
1078,38,682000,542,1344801,1,2,0.453501111,0.630081165,0
1079,43,362000,685,914532,8,1,0.175329277,0.327048695,0
1080,22,1014000,546,1820628,2,2,0.290670157,0.240448172,0
1081,39,200000,834,383366,10,1,0.868102432,0.466300327,0
1082,46,303000,519,792209,0,1,0.395852588,0.617931369,0
1083,59,289000,677,679273,1,0,0,0.419933305,0
1084,35,200000,806,533829,0,0,0,0.441063347,0
1085,32,634000,709,1631237,2,1,0.26806206,0.321604576,0
1086,35,2174000,667,5000000,0,0,0,0.231999414,0
1087,52,264000,553,1014545,0,0,0,0.493957142,0
1088,45,422000,511,746796,0,0,0,0.477188536,0
1089,35,289000,727,505215,4,1,0.413835667,0.427753357,0
1090,48,200000,800,726403,0,3,1.872759623,0.670537652,1
1091,43,200000,606,553198,5,0,0,0.314109865,0
1092,53,200000,536,683202,0,1,0.547509092,0.696723514,1
1093,33,200000,404,407710,0,2,1.280347936,0.731032775,1
1094,38,1243000,551,4440190,1,0,0,0.277987997,0
1095,37,241000,638,918117,11,0,0,0.364981252,0
1096,24,200000,809,617741,0,0,0,0.40811925,0
1097,45,597000,717,1053524,0,2,0.505391698,0.584002402,0
1098,45,200000,680,747647,4,0,0,0.316131569,0
1099,42,200000,609,696243,1,0,0,0.510587348,0
1100,39,285000,591,962500,3,0,0,0.37456762,0
1101,25,677000,790,1077662,0,2,0.303740643,0.473373711,0
1102,36,421000,670,1472408,1,2,0.436938203,0.553090587,0
1103,37,335000,439,618033,0,0,0,0.55443692,0
1104,32,287000,582,590062,1,2,0.838037368,0.679432352,1
1105,40,384000,564,1130049,4,0,0,0.301014573,0
1106,46,321000,595,694147,4,0,0,0.338655459,0
1107,64,200000,706,630674,2,2,1.727331318,0.559687454,0
1108,44,279000,639,842629,7,1,0.556744703,0.47666355,0
1109,45,200000,642,354074,0,0,0,0.512807703,0
1110,41,288000,781,904330,0,0,0,0.38801747,0
1111,22,200000,580,761977,2,1,0.591382196,0.544680279,0
1112,41,2637000,836,5000000,2,2,0.099508926,0.148519205,0
1113,42,258000,582,772105,0,2,1.199781894,0.696079918,1
1114,70,200000,658,470932,2,1,0.809434051,0.487412331,0
1115,39,237000,621,627819,1,2,0.585362339,0.684554855,1
1116,45,428000,662,949090,4,1,0.393662352,0.458762464,0
1117,41,1209000,694,2883859,4,1,0.142679568,0.178626553,0
1118,27,200000,693,314455,2,1,0.655732443,0.485688924,0
1119,55,200000,574,790775,0,0,0,0.503170774,0
1120,51,559000,537,1711657,3,0,0,0.323684537,0
1121,51,200000,900,550352,4,0,0,0.265820399,0
1122,31,200000,601,491857,0,1,0.790317872,0.722655317,1
1123,58,212000,719,603868,1,0,0,0.485926984,0
1124,25,252000,489,617466,10,0,0,0.333069342,0
1125,49,498000,622,1195085,1,0,0,0.426320323,0
1126,68,200000,637,531973,0,0,0,0.475258186,0
1127,30,209000,697,457701,0,1,0.83030783,0.629332583,0
1128,35,264000,377,514832,2,0,0,0.378604289,0
1129,43,307000,666,887695,8,0,0,0.329366047,0
1130,35,293000,535,1056825,2,1,0.572185743,0.514565577,0
1131,23,397000,682,747181,1,2,0.392170621,0.561526776,0
1132,42,573000,546,906391,3,0,0,0.253237334,0
1133,29,382000,564,808705,2,0,0,0.271363036,0
1134,47,403000,622,1591568,2,2,0.635937919,0.488132512,0
1135,30,200000,544,714379,0,0,0,0.545259651,0
1136,60,280000,602,837106,3,2,0.786316527,0.481548597,0
1137,32,413000,530,1578949,1,0,0,0.431338478,0
1138,38,517000,466,1351023,0,0,0,0.487435335,0
1139,51,200000,751,791640,2,0,0,0.309024766,0
1140,27,200000,520,448151,13,0,0,0.398191428,0
1141,44,200000,632,420152,1,2,1.357256339,0.662343729,1
1142,57,434000,725,1343282,10,3,0.752565698,0.480210212,0
1143,22,680000,588,1662861,0,3,0.316077888,0.508418261,0
1144,44,200000,567,613182,3,2,1.736915998,0.572030197,0
1145,45,607000,672,1373330,0,2,0.362205897,0.478347701,0
1146,51,299000,761,910393,0,1,0.338196814,0.527365217,0
1147,27,239000,533,523258,2,2,0.950683305,0.589919121,0
1148,26,221000,634,359662,2,0,0,0.305807511,0
1149,48,525000,476,1984678,4,0,0,0.269336316,0
1150,45,359000,610,1331176,2,1,0.216795035,0.403355009,0
1151,45,2080000,653,5000000,2,2,0.076921711,0.167895669,0
1152,46,200000,564,658263,7,1,0.418604063,0.540231018,0
1153,33,427000,604,1369304,1,2,0.517073656,0.653747216,0
1154,44,200000,509,579501,0,0,0,0.530353068,0
1155,45,200000,657,362971,0,1,0.677332703,0.680377392,1
1156,33,265000,755,522868,1,3,0.67937783,0.67449989,1
1157,64,303000,540,673773,3,0,0,0.347638172,0
1158,47,3709000,587,5000000,0,2,0.085598092,0.35030259,0
1159,27,227000,700,438660,0,1,0.77388795,0.636613606,0
1160,49,200000,771,761436,0,1,0.515991807,0.68010932,1
1161,30,343000,500,962788,2,2,0.815019902,0.500020143,0
1162,51,200000,633,657784,0,0,0,0.494722676,0
1163,55,247000,678,438575,0,0,0,0.45063503,0
1164,32,272000,639,590942,2,1,0.291779878,0.446102371,0
1165,53,548000,402,2135170,4,0,0,0.315017205,0
1166,46,644000,700,1394501,1,0,0,0.377435458,0
1167,51,200000,801,448260,2,0,0,0.235033144,0
1168,64,234000,661,466594,0,2,1.086803102,0.661755611,1
1169,39,200000,546,364536,8,0,0,0.40112636,0
1170,32,200000,598,416628,1,0,0,0.475686738,0
1171,31,354000,826,1099459,17,2,0.964684247,0.391441755,0
1172,32,200000,740,527683,11,2,1.646842233,0.502985741,0
1173,41,200000,714,576877,4,1,0.654470114,0.559653346,0
1174,46,200000,685,361182,0,1,0.643394745,0.628082523,0
1175,45,440000,583,1542328,2,0,0,0.252672316,0
1176,51,1357000,629,4695541,0,0,0,0.29984499,0
1177,42,200000,642,310794,6,0,0,0.311006771,0
1178,59,200000,704,491757,4,1,0.592917437,0.506356457,0
1179,38,239000,800,399590,10,0,0,0.306634049,0
1180,70,272000,761,946631,2,1,0.423849422,0.41775797,0
1181,49,326000,508,1089874,2,0,0,0.37109666,0
1182,31,200000,672,750994,2,0,0,0.326448551,0
1183,29,224000,723,468386,1,1,0.3549821,0.635488609,0
1184,47,373000,711,984995,1,2,0.805027787,0.6670462,1
1185,39,684000,587,1341474,3,0,0,0.231829412,0
1186,50,200000,900,485617,8,0,0,0.258464706,0
1187,47,200000,522,561121,2,0,0,0.400584254,0
1188,41,325000,541,530831,5,0,0,0.320284081,0
1189,31,200000,673,657435,5,1,0.345618065,0.436587928,0
1190,23,1274000,861,3641389,2,0,0,0.109468517,0
1191,36,200000,566,714479,1,0,0,0.504594872,0
1192,52,258000,623,562298,3,2,1.011877807,0.477992416,0
1193,44,442000,757,1661169,1,1,0.340316345,0.557065035,0
1194,27,200000,648,799347,0,0,0,0.493966416,0
1195,44,200000,616,759649,1,0,0,0.461522523,0
1196,46,200000,706,688946,15,0,0,0.267680636,0
1197,31,677000,677,2390434,0,0,0,0.334231576,0
1198,43,200000,753,586872,3,1,0.897932437,0.54178871,0
1199,42,200000,779,395076,5,1,0.394201447,0.491363029,0
1200,28,617000,680,1969835,3,0,0,0.200183682,0
1201,46,200000,679,656376,2,1,0.691571159,0.557259766,0
1202,48,200000,671,792692,3,0,0,0.320517866,0
1203,54,306000,698,873095,1,0,0,0.456267808,0
1204,54,536000,655,1167634,0,2,0.349346235,0.520849548,0
1205,25,2288000,649,5000000,9,0,0,0.135263926,0
1206,30,564000,769,2226919,1,0,0,0.332044611,0
1207,48,762000,801,1480592,3,2,0.291853646,0.215352894,0
1208,48,200000,499,462998,2,0,0,0.347604485,0
1209,48,200000,651,570940,0,0,0,0.462067449,0
1210,70,283000,581,544926,9,1,0.265597781,0.489447824,0
1211,48,295000,618,458887,4,1,0.324015162,0.49642328,0
1212,55,200000,690,468491,0,2,1.316609231,0.702766334,1
1213,53,229000,716,838924,11,0,0,0.277333938,0
1214,49,384000,638,617729,4,0,0,0.285493547,0
1215,38,371000,458,954331,1,0,0,0.498561617,0
1216,51,422000,553,1437121,2,1,0.21162997,0.383515979,0
1217,32,348000,739,1351268,0,0,0,0.371154697,0
1218,39,200000,375,792737,2,1,0.74142801,0.628452737,0
1219,36,200000,768,510984,0,0,0,0.401281199,0
1220,42,200000,702,775192,2,0,0,0.346191868,0
1221,69,1337000,781,2123887,2,0,0,0.108797381,0
1222,22,271000,630,911858,6,3,0.724245805,0.507523701,0
1223,50,219000,443,680403,3,2,1.535072631,0.612296972,0
1224,22,200000,693,424760,0,3,2.616345473,0.642303701,0
1225,36,3768000,777,5000000,6,0,0,0.067525006,0
1226,55,200000,742,364776,2,0,0,0.284080018,0
1227,42,200000,583,735798,2,0,0,0.385367827,0
1228,29,390000,658,933950,0,1,0.176592485,0.474872795,0
1229,33,460000,596,1409951,5,0,0,0.292611456,0
1230,50,635000,568,1204557,8,0,0,0.221963378,0
1231,33,1365000,745,2751037,4,0,0,0.080170409,0
1232,44,423000,530,1683493,8,0,0,0.291131463,0
1233,42,200000,560,676543,1,0,0,0.5278338,0
1234,34,212000,539,827845,5,0,0,0.370006228,0
1235,67,353000,500,790588,2,0,0,0.367213248,0
1236,49,1726000,664,3299088,0,0,0,0.25066101,0
1237,22,200000,766,551534,3,1,0.796154539,0.44558152,0
1238,44,792000,631,2167443,3,1,0.142075628,0.266547875,0
1239,34,315000,499,610270,1,0,0,0.466402063,0
1240,52,570000,733,1899837,0,1,0.141264214,0.394302875,0
1241,32,244000,818,586684,0,0,0,0.396901949,0
1242,40,200000,585,393182,1,0,0,0.529680209,0
1243,48,527000,602,1227888,0,1,0.205981685,0.512565188,0
1244,52,483000,701,1405117,0,3,0.739465905,0.564009877,0
1245,27,643000,812,2132302,1,1,0.195889009,0.406727718,0
1246,37,265000,598,716752,9,0,0,0.355231466,0
1247,36,200000,516,562797,4,1,0.526899348,0.56688972,0
1248,34,200000,713,369472,1,0,0,0.436928625,0
1249,63,560000,729,2120567,9,0,0,0.234898277,0
1250,46,392000,650,1498149,3,0,0,0.296422453,0
1251,26,200000,594,641713,1,1,0.404014523,0.621397025,0
1252,53,200000,749,308815,1,0,0,0.467001297,0
1253,67,200000,702,568537,1,1,0.531296666,0.664851793,1
1254,54,200000,573,614609,0,1,0.47160229,0.722977812,1
1255,23,200000,654,797327,1,0,0,0.451071754,0
1256,36,200000,514,798033,2,2,0.688353011,0.554488308,0
1257,57,200000,718,728805,2,1,0.685770684,0.514997941,0
1258,33,200000,623,331915,4,0,0,0.340506686,0
1259,47,200000,606,776638,1,0,0,0.486636537,0
1260,51,1656000,646,5000000,3,1,0.10247801,0.200261202,0
1261,30,828000,654,2899835,2,0,0,0.181475156,0
1262,41,200000,739,503596,9,2,1.588174139,0.524693852,0
1263,22,342000,709,786317,1,0,0,0.393492163,0
1264,29,390000,634,1036663,6,0,0,0.314065496,0
1265,38,783000,726,1462006,5,2,0.25007763,0.258433863,0
1266,27,200000,690,478533,3,3,1.515013225,0.473376794,0
1267,61,717000,607,2612779,3,0,0,0.191865822,0
1268,24,200000,637,318975,0,1,0.523775365,0.640242306,0
1269,36,200000,635,375439,9,0,0,0.334020786,0
1270,43,514000,700,931774,0,1,0.282498062,0.483753868,0
1271,59,857000,613,2149089,2,2,0.208797237,0.313680517,0
1272,24,2755000,610,5000000,1,0,0,0.333517078,0
1273,55,200000,846,386678,1,0,0,0.450567086,0
1274,42,503000,743,937444,2,0,0,0.226694988,0
1275,30,200000,573,757527,7,0,0,0.38970875,0
1276,47,543000,707,2011883,1,0,0,0.355270298,0
1277,44,200000,661,316120,13,2,1.211905074,0.535731613,0
1278,34,200000,689,675852,2,0,0,0.309625139,0
1279,42,200000,663,627732,0,0,0,0.446134191,0
1280,37,288000,768,984773,0,1,0.280538536,0.491476758,0
1281,43,200000,684,547251,3,0,0,0.327821838,0
1282,49,485000,643,1929547,0,0,0,0.37418058,0
1283,61,676000,754,1088101,1,0,0,0.351466976,0
1284,27,460000,673,959527,0,1,0.295792833,0.571130648,0
1285,67,1151000,662,2867561,1,0,0,0.245543944,0
1286,22,390000,681,1023533,4,1,0.159036311,0.336208382,0
1287,40,200000,640,760683,1,0,0,0.510544126,0
1288,49,915000,650,2653509,0,1,0.092651279,0.320327811,0
1289,45,200000,591,322555,0,1,0.688652451,0.745076452,1
1290,34,608000,574,1531951,1,1,0.213751676,0.531013893,0
1291,39,1106000,550,2810595,0,0,0,0.277042102,0
1292,36,404000,510,1581145,2,0,0,0.281739977,0
1293,34,200000,562,599598,2,2,1.506023038,0.610312515,0
1294,52,200000,632,617825,0,0,0,0.534980836,0
1295,46,882000,660,2895722,1,0,0,0.30172856,0
1296,33,230000,622,787772,1,1,0.396417399,0.598789959,0
1297,52,288000,414,889236,1,2,0.960718387,0.751887555,1
1298,45,531000,807,1111375,2,0,0,0.177591011,0
1299,51,502000,758,1849927,1,1,0.189277269,0.49121654,0
1300,49,344000,694,1145623,1,1,0.403443876,0.62351041,0
1301,32,222000,840,744738,4,0,0,0.279459378,0
1302,35,202000,552,806261,0,1,0.487678516,0.689021791,1
1303,50,580000,838,2033663,2,2,0.537456644,0.395793525,0
1304,49,441000,553,1575639,2,3,0.96143058,0.484333493,0
1305,41,212000,673,822244,1,0,0,0.426429765,0
1306,43,710000,522,1333262,3,1,0.232630468,0.342395646,0
1307,57,238000,651,653147,2,0,0,0.322368454,0
1308,34,200000,688,590283,1,0,0,0.496967264,0
1309,48,200000,634,464637,3,1,0.597378805,0.575234055,0
1310,39,200000,721,719701,4,0,0,0.295113516,0
1311,39,209000,659,711864,10,0,0,0.323030634,0
